ZIP CODE	STATE	MSA No.	GPCI	GPCI	GPCI	County No.	MSA Name
01301	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01302	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01330	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01331	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01337	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01338	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01339	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01340	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01341	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01342	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01343	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01344	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
